"nanyangSiteId","siteNameZh","siteNameEn","x","y"
"cca-kd-0175","新加坡庐江何氏总会","SINAPORE LOH KANG HO CLAN ASSOCIATION",103.843122,1.278445
"cca-kd-0176","新加坡庐江何氏总会","SINAPORE LOH KANG HO CLAN ASSOCIATION",103.844224,1.278213
"cca-kd-0177","新加坡庐江何氏总会","SINAPORE LOH KANG HO CLAN ASSOCIATION",103.877235,1.309152
"cca-kd-0178","新加坡延陵吴氏总会","YEN LENG GOH CLAN GENERAL ASSOCIATION",103.84398,1.28577
"cca-kd-0179","新加坡延陵吴氏总会","YEN LENG GOH CLAN GENERAL ASSOCIATION",103.841672,1.293868
"cca-kd-0180","新加坡惠州会馆（惠州会馆, 惠州公会）","WUI CHIU FUI KUN SINGAPORE",103.847364,1.284368
"cca-kd-0181","新加坡惠州会馆（惠州会馆, 惠州公会）","WUI CHIU FUI KUN SINGAPORE",103.847554,1.284646
"cca-kd-0182","新加坡惠州会馆（惠州会馆, 惠州公会）","WUI CHIU FUI KUN SINGAPORE",103.844549,1.278143
"cca-kd-0183","新加坡惠州会馆（惠州会馆, 惠州公会）","WUI CHIU FUI KUN SINGAPORE",103.842029,1.277955
"cca-kd-0184",,"DAI CLAN ASSOCIATION (SINGAPORE)",103.87796,1.313373
"cca-kd-0185",,"DAI CLAN ASSOCIATION (SINGAPORE)",103.896262,1.326337
"cca-kd-0186","新加坡杨厝港琼崖同乡会","SINGAPORE YIO CHU KANG KHENG ZAI TUNG YEO HUI",103.873328,1.398138
"cca-kd-0187","新加坡杨厝港琼崖同乡会","SINGAPORE YIO CHU KANG KHENG ZAI TUNG YEO HUI",103.873492,1.369534
"cca-kd-0188","新加杨氏公会","SINGAPORE YONG SZE ASSOCIATION",103.856199,1.298881
"cca-kd-0189","新加杨氏公会","SINGAPORE YONG SZE ASSOCIATION",103.886488,1.314517
"cca-kd-0190","新加杨氏公会","SINGAPORE YONG SZE ASSOCIATION",103.856199,1.298881
"cca-kd-0191","新加杨氏公会","SINGAPORE YONG SZE ASSOCIATION",103.888721,1.315052
"cca-kd-0192","新加坡海南会馆","SINGAPORE HAI NAN HWEE KUAN/ KHENG CHIU TIN HOU KONG",103.855328,1.299068
"cca-kd-0193","新加坡海南会馆","SINGAPORE HAI NAN HWEE KUAN/ KHENG CHIU TIN HOU KONG",103.855929,1.296409
"cca-kd-0194","新加坡海南林氏公会","HAINAN LIM CLAN ASSOCIATION",103.877267,1.313453
"cca-kd-0195","新加坡湖峰社","SINGAPORE OH HONG SIA ASSOCIATION",103.849436,1.280981
"cca-kd-0196","新加坡湖峰社","SINGAPORE OH HONG SIA ASSOCIATION",103.836214,1.296772
"cca-kd-0197","新加坡湖峰社","SINGAPORE OH HONG SIA ASSOCIATION",103.883908,1.31161
"cca-kd-0198","新加坡潮州沈氏联合会","SINGAPORE TEO CHEW SIM CLAN ASSOCIATION",103.849241,1.287877
"cca-kd-0199","新加坡潮州沈氏联合会","SINGAPORE TEO CHEW SIM CLAN ASSOCIATION",103.846846,1.287598
"cca-kd-0200","新加坡潮州沈氏联合会","SINGAPORE TEO CHEW SIM CLAN ASSOCIATION",103.77086,1.31353
"cca-kd-0201","新加坡琼海同乡会","QIONGHAI ASSOCIATION (SINGAPORE)",103.855809,1.296228
"cca-kd-0202","新加坡琼海同乡会","QIONGHAI ASSOCIATION (SINGAPORE)",103.843769,1.318132
"cca-kd-0203","新加坡琼海同乡会","QIONGHAI ASSOCIATION (SINGAPORE)",103.878115,1.314374
"cca-kd-0204","新加坡福州会馆","SINGAPORE FOOCHOW ASSOCIATION",103.845846,1.282301
"cca-kd-0205","新加坡福州会馆","SINGAPORE FOOCHOW ASSOCIATION",103.845845,1.302844
"cca-kd-0206","新加坡福州会馆","SINGAPORE FOOCHOW ASSOCIATION",103.858441,1.30941
"cca-kd-0207","新加坡福州洪氏公会","FOO CHOW HOON CLAN GUILD OF SINGAPORE",103.852439,1.307159
"cca-kd-0208","新加坡福州洪氏公会","FOO CHOW HOON CLAN GUILD OF SINGAPORE",103.853326,1.316608
"cca-kd-0209","新加坡福州洪氏公会","FOO CHOW HOON CLAN GUILD OF SINGAPORE",103.853713,1.309137
"cca-kd-0210","新加坡福州洪氏公会","FOO CHOW HOON CLAN GUILD OF SINGAPORE",103.853643,1.31077
"cca-kd-0211","新加坡福建会馆","SINGAPORE HOKIEN HUAY KUAN",103.848017,1.280801
"cca-kd-0212","新加坡福清东张同乡会","SINGAPORE FUTSING TUNG CHIANG CLANSMEN'S ASSOCIATION",103.854524,1.307117
"cca-kd-0213","新加坡福清东张同乡会","SINGAPORE FUTSING TUNG CHIANG CLANSMEN'S ASSOCIATION",103.879309,1.314
"cca-kd-0214","新加坡福清会馆","SINGAPORE FUTSING ASSOCIATION",103.855637,1.300367
"cca-kd-0215","新加坡福清会馆","SINGAPORE FUTSING ASSOCIATION",103.854642,1.300617
"cca-kd-0216","新加坡福清会馆","SINGAPORE FUTSING ASSOCIATION",103.859349,1.310697
"cca-kd-0217","新加坡舜裔宗亲联谊会","SHUN-YI ASSOCIATION (SINGAPORE)",103.881021,1.315048
"cca-kd-0218","新加坡舜裔宗亲联谊会","SHUN-YI ASSOCIATION (SINGAPORE)",103.889249,1.314731
"cca-kd-0219","新加坡舜裔宗亲联谊会","SHUN-YI ASSOCIATION (SINGAPORE)",103.878924,1.350622
"cca-kd-0220","滎阳堂郑氏公会","ENG YONG TONG TAY SI ASSOCIATION",103.849046,1.286073
"cca-kd-0221","滎阳堂郑氏公会","ENG YONG TONG TAY SI ASSOCIATION",103.84686,1.280995
"cca-kd-0222","新加坡莆田会馆, 南洋莆田会馆","PUTIAN ASSOCIATION SINGAPORE  //  NANYANG PHO CHEN HUAY KUAN",103.854642,1.300617
"cca-kd-0223","新加坡莆田会馆, 南洋莆田会馆","PUTIAN ASSOCIATION SINGAPORE  //  NANYANG PHO CHEN HUAY KUAN",103.852982,1.304883
"cca-kd-0224","新加坡莆田会馆, 南洋莆田会馆","PUTIAN ASSOCIATION SINGAPORE  //  NANYANG PHO CHEN HUAY KUAN",103.887543,1.31528
"cca-kd-0225","新加坡许氏总会","SINGAPORE KHOH CLAN ASSOCIATION",103.846866,1.283525
"cca-kd-0226","新加坡许氏总会","SINGAPORE KHOH CLAN ASSOCIATION",103.842607,1.293899
"cca-kd-0227","新加坡许氏总会","SINGAPORE KHOH CLAN ASSOCIATION",103.846706,1.280723
"cca-kd-0228","新加坡谢氏总会, 南洋谢氏总会","CHIA GENERAL ASSOCIATION (SINGAPORE)",103.8401,1.279247
"cca-kd-0229","新加坡谢氏总会, 南洋谢氏总会","CHIA GENERAL ASSOCIATION (SINGAPORE)",103.846433,1.284977
"cca-kd-0230","新加坡谢氏总会, 南洋谢氏总会","CHIA GENERAL ASSOCIATION (SINGAPORE)",103.84089,1.280399
"cca-kd-0231","新加坡钟氏公会","ZHONG CLAN ASSOCIATION",103.843714,1.273174
"cca-kd-0232","新加坡钟氏公会","ZHONG CLAN ASSOCIATION",103.855637,1.300367
"cca-kd-0233","新加坡钟氏公会","ZHONG CLAN ASSOCIATION",103.900339,1.314227
"cca-kd-0234","新加坡钟氏公会","ZHONG CLAN ASSOCIATION",103.853754,1.307357
"cca-kd-0235","新加坡陈氏总会","FEDERATION OF CHEN CLAN ASSOCIATION",103.881021,1.315048
"cca-kd-0236","新加坡陈氏总会","FEDERATION OF CHEN CLAN ASSOCIATION",103.845234,1.28707
"cca-kd-0237","新加坡陈氏总会","FEDERATION OF CHEN CLAN ASSOCIATION",103.878924,1.350622
"cca-kd-0238","新加坡高氏公会","SINGAPORE KOH CLAN ASSOCIATION",103.789683,1.277478
"cca-kd-0239","新加坡高氏公会","SINGAPORE KOH CLAN ASSOCIATION",103.832037,1.289266
"cca-kd-0240","新加坡高氏公会","SINGAPORE KOH CLAN ASSOCIATION",103.840593,1.278889
"cca-kd-0241","新加坡高要会馆","SINGAPORE KOH YIU WOOI KWOON",103.844418,1.283556
"cca-kd-0242","新加坡高要会馆","SINGAPORE KOH YIU WOOI KWOON",103.845839,1.281695
"cca-kd-0243","新加坡鹤山会馆, 星加坡鹤山会馆","SINGAPORE HOK SAN ASSOCIATION",103.84239,1.279328
"cca-kd-0244","新加坡鹤山会馆, 星加坡鹤山会馆","SINGAPORE HOK SAN ASSOCIATION",103.842274,1.280433
"cca-kd-0245","新加坡麦氏公会（始兴堂）","SINGAPORE MAK CLAN CHI HENG THONG ASSOCIATION",103.842463,1.280748
"cca-kd-0246","新合盛同乡会","TIN HUP TENG TANG YEO WAY",103.855146,1.295988
"cca-kd-0247",,"SINGAPORE KUAN SUN SIA",103.849196,1.28055
"cca-kd-0248","星洲增龙会馆","CHEN LOONG WUI KOON",103.848451,1.288057
"cca-kd-0249","星洲增龙会馆","CHEN LOONG WUI KOON",103.843111,1.279788
"cca-kd-0250","星洲增龙会馆","CHEN LOONG WUI KOON",103.876062,1.312467
"cca-kd-0251","星洲谯国堂曹家馆","SING CHOW CHIU KWOK THONG CHO KAH KOON",103.85938,1.315697
"cca-kd-0252","星洲谯国堂曹家馆","SING CHOW CHIU KWOK THONG CHO KAH KOON",103.873276,1.31781
"cca-kd-0253","星洲颍川公会","SINGAPORE THENG CHUAN ASSOCIATION",103.843984,1.283403
"cca-kd-0254","星洲颍川公会","SINGAPORE THENG CHUAN ASSOCIATION",103.878924,1.350622
"cca-kd-0255","星槎同乡会",,103.844543,1.278285
"cca-kd-0256","星马客属廖氏公会, 新加坡客属廖氏公会","S.M. KHEK LEOW CLAN ASSOCIATION",103.847874,1.283466
"cca-kd-0257","星马客属廖氏公会, 新加坡客属廖氏公会","S.M. KHEK LEOW CLAN ASSOCIATION",103.877219,1.312711
"cca-kd-0258","朱氏公会","CHOO CLAN ASSOCIATION",103.851466,1.299874
"cca-kd-0259","朱氏公会","CHOO CLAN ASSOCIATION",103.853748,1.30788
"cca-kd-0260","新加坡林氏大宗祠九龙堂","2-？:SINGAPORE LIM SEE TAI CHONG SOO KIU LEONG TONG FARMILY SELF-MAGEMENT ASSOCIATION  //  LIM SEE TAI CHONG SOO KIU LEONG TONG FAMILY SELF-MANAGEMENT ASSOCIATION",103.841422,1.274938
"cca-kd-0261","梅汝南堂","BOEY NI LAM HONG",103.847269,1.284188
"cca-kd-0262","梅汝南堂","BOEY NI LAM HONG",103.878681,1.310763
"cca-kd-0263","樟林旅外同乡会","CHUNG-LIM COMMUNITY OVERSEAS ASSOCIATION",103.847292,1.287817
"cca-kd-0264","樟林旅外同乡会","CHUNG-LIM COMMUNITY OVERSEAS ASSOCIATION",103.847292,1.287817
"cca-kd-0265","江西会馆","THE SINGAPORE KIANGSI ASSOCIATION",103.858529,1.310681
"cca-kd-0266","琼崖沙港同乡会","KHENG JAI SAR KUNG ASSOCIATION",103.830175,1.306909
"cca-kd-0267","琼崖沙港同乡会","KHENG JAI SAR KUNG ASSOCIATION",103.852688,1.29801
"cca-kd-0268","泉菌江公所","CHUAN KHOON KANG KONG SO",103.858432,1.301262
"cca-kd-0269","泉菌江公所","CHUAN KHOON KANG KONG SO",103.852022,1.298783
"cca-kd-0270","泉菌江公所","CHUAN KHOON KANG KONG SO",103.877936,1.314314
"cca-kd-0271","泉菌江公所","CHUAN KHOON KANG KONG SO",103.879438,1.314033
"cca-kd-0272","清河张氏公会","CHIN HO TEO CLAN ASSOCIATION",103.847455,1.281994
"cca-kd-0273","清河张氏公会","CHIN HO TEO CLAN ASSOCIATION",103.877549,1.30943
"cca-kd-0274","温州会馆","WEN CHOW WEI KHAN  //  WENZHOU CLAN ASSOCIATION OF SINGAPORE",103.856574,1.306957
"cca-kd-0275","温州会馆","WEN CHOW WEI KHAN  //  WENZHOU CLAN ASSOCIATION OF SINGAPORE",103.856461,1.310075
"cca-kd-0276","温州会馆","WEN CHOW WEI KHAN  //  WENZHOU CLAN ASSOCIATION OF SINGAPORE",103.85652,1.309509
"cca-kd-0277","温州会馆","WEN CHOW WEI KHAN  //  WENZHOU CLAN ASSOCIATION OF SINGAPORE",103.88936,1.315752
"cca-kd-0278","潮安仙乐乡杨氏同乡会","TEO ANN SIAN LUCK HEO YEO CLAN SOCIETY",103.846455,1.290532
"cca-kd-0279","潮安仙乐乡杨氏同乡会","TEO ANN SIAN LUCK HEO YEO CLAN SOCIETY",103.847674,1.287592
"cca-kd-0280","潮安仙乐乡杨氏同乡会","TEO ANN SIAN LUCK HEO YEO CLAN SOCIETY",103.878425,1.311913
"cca-kd-0281","潮安会馆","TEO ANN HUAY KUAN",103.840489,1.279105
"cca-kd-0282","潮安会馆","TEO ANN HUAY KUAN",103.882392,1.358276
"cca-kd-0283","潮安会馆","TEO ANN HUAY KUAN",103.876998,1.310566
"cca-kd-0284","潮州金沙陈氏同乡会","TEO ANN KIM SAR DISTRICT TAN CLAN ASSOCIATION",103.847904,1.288712
"cca-kd-0285","潮州金沙陈氏同乡会","TEO ANN KIM SAR DISTRICT TAN CLAN ASSOCIATION",103.840533,1.278434
"cca-kd-0286","潮州谢氏公会","TEOCHEW CHIA CLAN ASSOCIATION",103.856652,1.298311
"cca-kd-0287","潮荷同乡会","CHEW HO THONG HIONG WUI",103.834281,1.300267
"cca-kd-0288","澄海会馆","THENG HAI HUAY KUAN",103.847025,1.287128
"cca-kd-0289","澄海会馆","THENG HAI HUAY KUAN",103.836633,1.276268
"cca-kd-0290","澄海会馆","THENG HAI HUAY KUAN",103.845704,1.284149
"cca-kd-0291","澄海会馆","THENG HAI HUAY KUAN",103.883252,1.314392
